country,population
Afghanistan,38041.757000000005
Albania,2880.913
Algeria,43053.054000000004
Angola,31825.299
Antigua and Barbuda,97.115
Argentina,44780.675
Australia,25203.2
Austria,8955.108
Bahamas,389.486
Bangladesh,163046.173
Barbados,287.02099999999996
Belarus,9452.409
Belgium,11539.326000000001
Belize,390.351
Benin,11801.151000000002
Bolivia,11513.101999999999
Bosnia and Herzegovina,3300.998
Botswana,2303.703
Brazil,211049.51899999997
Bulgaria,7000.116999999999
Burkina Faso,20321.383
Cambodia,16486.542
Cameroon,25876.387000000002
Canada,37411.038
Chile,18952.035
China,1433783.6919999998
Colombia,50339.443
Congo,5380.504
Costa Rica,5047.561
Cote d'Ivoire,25716.554
Croatia,4130.299
Czechia,10689.213
Denmark,5771.8769999999995
Dominica,71.808
Dominican Republic,10738.957
Ecuador,17373.657
Egypt,100388.076
El Salvador,6453.55
Estonia,1325.649
Ethiopia,112078.727
Finland,5532.159000000001
France,65129.731
Gambia,2347.696
Georgia,3996.762
Germany,83517.046
Ghana,30417.857999999997
Greece,10473.452
Grenada,112.00200000000001
Guatemala,17581.476000000002
Guinea,12771.246000000001
Guyana,782.775
Honduras,9746.115
Hungary,9684.68
India,1366417.756
Indonesia,270625.567
Iran,82913.893
Italy,60550.092000000004
Jamaica,2948.277
Japan,126860.299
Jordan,10101.697
Kazakhstan,18551.428
Kenya,52573.967000000004
Kyrgyzstan,6415.851
Lebanon,6855.709
Liberia,4937.374
Madagascar,26969.306
Malawi,18628.749
Malaysia,31949.789
Mali,19658.023
Mauritania,4525.698
Mauritius,1269.67
Mexico,127575.52900000001
Mongolia,3225.1659999999997
Morocco,36471.766
Mozambique,30366.042999999998
Namibia,2494.524
Nepal,28608.715
Netherlands,17097.123
New Zealand,4783.062
Nicaragua,6545.503000000001
Niger,23310.718999999997
Nigeria,200963.603
North Macedonia,2083.458
Norway,5378.859
Pakistan,216565.31699999998
Panama,4246.44
Peru,32510.462000000003
Philippines,108116.62199999999
Poland,37887.771
Portugal,10226.178
Romania,19364.558
Russian Federation,145872.26
Rwanda,12626.938
Saint Kitts and Nevis,52.833999999999996
Saint Lucia,182.795
Saint Vincent and the Grenadines,110.59299999999999
Senegal,16296.362
Serbia,8772.228000000001
Sierra Leone,7813.206999999999
Singapore,5804.343000000001
Slovenia,2078.654
South Africa,58558.267
Spain,46736.782
Sri Lanka,21323.734
Suriname,581.363
Sweden,10036.391
Thailand,69625.58099999999
Togo,8082.359
Trinidad and Tobago,1394.969
Tunisia,11694.721000000001
Turkey,83429.607
Uganda,44269.587
Ukraine,43993.643
United Arab Emirates,9770.526
United Kingdom,67530.161
United States,332382.72
Uruguay,3461.7309999999998
Uzbekistan,32981.715
Venezuela,28515.828999999998
Vietnam,96462.10800000001
Zambia,17861.034
Zimbabwe,14645.473
