country,country_code,region,cum_confirmed,infection_rate (per mille),income group,WJP Rule of Law Index: Overall Score,Factor 1: Constraints on Government Powers,1.1 Government powers are effectively limited by the legislature,1.2 Government powers are effectively limited by the judiciary,1.3 Government powers are effectively limited by independent auditing and review,1.4 Government officials are sanctioned for misconduct,1.5 Government powers are subject to non-governmental checks,1.6 Transition of power is subject to the law,Factor 2: Absence of Corruption,2.1 Government officials in the executive branch do not use public office for private gain,2.2 Government officials in the judicial branch do not use public office for private gain,2.3 Government officials in the police and the military do not use public office for private gain,2.4 Government officials in the legislative branch do not use public office for private gain,Factor 3: Open Government ,3.1. Publicized laws and government data ,3.2 Right to information,3.3 Civic participation,3.4 Complaint mechanisms,Factor 4: Fundamental Rights,4.1 Equal treatment and absence of discrimination,4.2 The right to life and security of the person is effectively guaranteed,4.3 Due process of the law and rights of the accused,4.4 Freedom of opinion and expression is effectively guaranteed,4.5 Freedom of belief and religion is effectively guaranteed,4.6 Freedom from arbitrary interference with privacy is effectively guaranteed,4.7 Freedom of assembly and association is effectively guaranteed,4.8 Fundamental labor rights are effectively guaranteed,Factor 5: Order and Security,5.1 Crime is effectively controlled,5.2 Civil conflict is effectively limited,5.3 People do not resort to violence to redress personal grievances,Factor 6: Regulatory Enforcement,6.1 Government regulations are effectively enforced,6.2 Government regulations are applied and enforced without improper influence,6.3 Administrative proceedings are conducted without unreasonable delay,6.4 Due process is respected in administrative proceedings,6.5 The government does not expropriate without lawful process and adequate compensation,Factor 7: Civil Justice,7.1 People can access and afford civil justice,7.2 Civil justice is free of discrimination,7.3 Civil justice is free of corruption,7.4 Civil justice is free of improper government influence,7.5 Civil justice is not subject to unreasonable delay,7.6. Civil justice is effectively enforced,"7.7 Alternative dispute resolution mechanisms are accessible, impartial, and effective",Factor 8: Criminal Justice,8.1 Criminal investigation system is effective,8.2 Criminal adjudication system is timely and effective,8.3 Correctional system is effective in reducing criminal behavior,8.4 Criminal system is impartial,8.5 Criminal system is free of corruption,8.6 Criminal system is free of improper government influence,8.7. Due process of the law and rights of the accused
Afghanistan,AFG,South Asia,1463.0,0.03845774000396458,Low,0.36273574773549394,0.436811586814337,0.585792213809837,0.350820163194741,0.447188520576104,0.316041263985317,0.5858144974041409,0.33521286191588,0.30409723475197303,0.37738716896798996,0.19163185492193102,0.40754269134204,0.23982722377593202,0.410954909404943,0.24274574090605802,0.39610405255692793,0.5632787317933471,0.44169111236344,0.41207401419446504,0.356027649008123,0.285748974290125,0.328300084746378,0.5858144974041409,0.413120217314173,0.31386554711468106,0.599666321624209,0.41404882205388793,0.28819601286864194,0.44553950687536104,0.04125,0.377798531730565,0.37228354363980704,0.33919384457805296,0.40582420048925705,0.479198956443593,0.253494299261439,0.38370641742669204,0.37078863123978006,0.48656270599087,0.17672649714855604,0.17180008143010697,0.30764696314742795,0.3908148103524461,0.563207652783043,0.498761707826012,0.306680048970002,0.30790170883785,0.411223540252337,0.319226907239336,0.213533329258348,0.26404346796077,0.302531304494995,0.328300084746378
Albania,ALB,Eastern Europe & Central Asia,712.0,0.24714387418155287,Upper Middle,0.500228768298483,0.45259919578753494,0.475108524582274,0.304564998049211,0.545121134323738,0.38906802564373,0.532893872637007,0.468838619489249,0.367105343247891,0.387075035069433,0.324351001307426,0.5220814782102671,0.23491385840443899,0.46589323978216796,0.4610107884755,0.42963661905419903,0.435147778087863,0.537777773511111,0.588208085251891,0.589759076143059,0.7054093449868521,0.529648160725815,0.532893872637007,0.788222761207162,0.5553921476328341,0.514558832177498,0.48978048650490397,0.7851267240348241,0.869781852281004,1.0,0.4855983198234671,0.440722326062553,0.441983834219015,0.446979543198319,0.5516364552513249,0.380002028658399,0.38300976898570893,0.476076155914198,0.5315356992158871,0.513387686965051,0.28156177578778496,0.330150976893772,0.53007730539521,0.522018937278373,0.62380070986331,0.42609907630680205,0.43059619342257105,0.4060275035418521,0.408602084767956,0.547579619435045,0.329009535071075,0.33123043718330397,0.529648160725815
Algeria,DZA,Middle East & North Africa,3256.0,0.07562761981995515,Upper Middle,0.49440423564872205,0.48152395616372295,0.5068736812768571,0.428926512648084,0.600016545451824,0.502995116875396,0.41488953077312,0.435442349957058,0.454543894443935,0.404406684262713,0.5385481363776919,0.48953922129766203,0.38568153583767206,0.34410950820864605,0.23640584625925398,0.30615043248845697,0.37968906097365707,0.45419269311321503,0.469899683802249,0.6165281939409649,0.556328298967752,0.543708675979539,0.41488953077312,0.16496180757092002,0.463480383928489,0.4214979959961379,0.577802583261068,0.740400292115462,0.672735481837478,0.9375,0.610965394508908,0.46583941619544,0.419950456936743,0.5210216278086289,0.468458430790544,0.442166612180414,0.47759995326086996,0.5642450822513471,0.54998606424979,0.605601173535501,0.5982786034076579,0.4140206888718879,0.7311901554950699,0.48951042269081196,0.561128467508708,0.43467205200897296,0.29353160367102504,0.44095489179053604,0.46814373186999203,0.6173565674518331,0.439263594021161,0.23974529927872895,0.543708675979539
Angola,AGO,Sub-Saharan Africa,25.0,0.0007855385742016124,Lower Middle,0.425419246862042,0.41957724386536704,0.523221300991665,0.40454886211108504,0.36555956969096104,0.344777523456932,0.433705248649658,0.44565095829190204,0.42576391841165706,0.350972493979471,0.510638430972745,0.468133626525057,0.373311122169355,0.366361281284939,0.122587918832806,0.4031343244942371,0.37600726933539,0.5637156124773229,0.38843127958508095,0.5022269680887821,0.30024061068681607,0.32758010216135697,0.433705248649658,0.5188401463185499,0.18850104061523199,0.430204741738576,0.4061513784216779,0.598377174712161,0.47835565298792204,1.0,0.31677587114856104,0.40244432001383096,0.411959648917423,0.489598986959199,0.294870729721958,0.457628671868399,0.35816356260217497,0.44274733522670395,0.47563794250044106,0.60436736425989,0.49799823762272605,0.32883940359107694,0.253129047844239,0.310238343267421,0.629021007501136,0.359651421796596,0.3584418868918,0.377067467844503,0.25278368744388396,0.37147957170568197,0.49005076248201707,0.340156474046932,0.32758010216135697
Antigua and Barbuda,ATG,Latin America & Caribbean,24.0,0.24712969160273904,High,0.630874006009207,0.618210536620708,0.605965277920061,0.7117054727380692,0.5918695198309151,0.4567262894823329,0.599601207908615,0.743395451844255,0.606537189659172,0.57558299944202,0.828313649204673,0.7271885283341659,0.29506358165583,0.518148501247714,0.28709437325620696,0.581202261077598,0.630515711094042,0.573781659563008,0.696141226707098,0.6457560599294421,0.8086466322304259,0.6040901928482579,0.599601207908615,0.6558853858844089,0.6784314095536341,0.717549462863308,0.8591694624386959,0.783514183954905,0.812017260580554,1.0,0.5385252912841599,0.6035831333686751,0.5616045638114641,0.8204837266332059,0.45733364079316796,0.511378001842311,0.6671157337632281,0.659719623621625,0.749215118685548,0.627412578488486,0.7863309852565921,0.7651131829757499,0.414315272599817,0.470682259182702,0.804967968162476,0.5611376528937609,0.49956028758938203,0.558595290854272,0.521739163185256,0.48924572764671603,0.6827466239044879,0.571986284227956,0.6040901928482579
Argentina,ARG,Latin America & Caribbean,3780.0,0.08441141184227348,Upper Middle,0.5795843083616761,0.6149488457109089,0.6471494711011441,0.459776748780403,0.7042553083550941,0.386113121250156,0.6990467310378149,0.793351693740841,0.517062823354531,0.49129357757696396,0.6685963805297099,0.610267878325225,0.29809345698622397,0.635636843853446,0.696363820662961,0.5342130245534911,0.683275078199883,0.628695451997448,0.6964804771885631,0.649136885619099,0.7882776544308481,0.573936318453073,0.6990467310378149,0.755613526686994,0.6868259557378891,0.765679235327961,0.653327510214829,0.616214094588424,0.5556343181541179,1.0,0.293007965611153,0.527408898694663,0.47035100833292603,0.602218893921919,0.485755193118208,0.502553257139909,0.576166140960354,0.593537211202127,0.7295560141891428,0.6986062366827012,0.5749119843677271,0.516384305199904,0.305998423366822,0.554911829560882,0.7743916850477081,0.43538527230074503,0.273727188208138,0.40956336699773604,0.350231339770479,0.535451421475929,0.47575254294181607,0.429034728258046,0.573936318453073
Australia,AUS,East Asia & Pacific,6694.0,0.26560119349923816,High,0.8028566344790441,0.8236554357591601,0.855345382712585,0.8380700553618949,0.768880048169249,0.7677280797901199,0.7898169451927499,0.9220921033283629,0.815936428908767,0.781340752023087,0.965563825465212,0.9053542609576709,0.6114868771891011,0.81155812575067,0.908134089462333,0.70211275258133,0.779453486611621,0.8565321743473941,0.794859572347617,0.6776635471665029,0.897374359441542,0.772100013099335,0.7898169451927499,0.8434258322623409,0.8395090973197621,0.815824089674843,0.7231626946238578,0.8664949417453539,0.8949025273380171,0.975,0.729582297898047,0.821620356891688,0.705666650486602,0.904873921603798,0.767992487996641,0.874861174681865,0.854707549689534,0.7588738363826171,0.604922487310208,0.689988569241397,0.879827788162882,0.9014712950009559,0.6750872856423199,0.742689252737521,0.818130176583035,0.729854378046481,0.655793399210486,0.7140283417175829,0.62391800992913,0.5807461800914621,0.8450181883556129,0.917376513921757,0.772100013099335
Austria,AUT,EU & EFTA & North America,15148.0,1.6915485553049723,High,0.8171794781384281,0.845937667783457,0.8395532015103699,0.840910723688119,0.780816669213135,0.8258573775375809,0.843541370517905,0.94494666423363,0.8188569197400029,0.779062154652674,0.9383861006104159,0.926623736997646,0.631355686699276,0.7149520268728741,0.7086978492126059,0.6287838990467339,0.8125869646901679,0.709739394541988,0.8509190022131801,0.729176585084021,0.9698066748405451,0.829603499827784,0.843541370517905,0.817721283617687,0.916928133715572,0.8806575477011209,0.8199169224008029,0.9038319244275609,0.9167253722115369,1.0,0.794770401071144,0.8355480029626631,0.8698203255152079,0.9272631790898649,0.721330816826414,0.839383191155615,0.819942502226211,0.7680991263311109,0.7181941538950629,0.6945809804198989,0.860159940837731,0.8657045536074871,0.67337411690797,0.823839050068587,0.7408410885810409,0.7992911547765759,0.6489791606624921,0.8104504082134629,0.812432023361692,0.700737902197442,0.876550923069033,0.916284166104126,0.829603499827784
Bahamas,BHS,Latin America & Caribbean,78.0,0.20026393759981104,High,0.605148229682833,0.605447311911313,0.569300085437515,0.6162383112821689,0.517847736384516,0.44450355713627004,0.6949153643264909,0.7898788169009151,0.6294753297235539,0.535192413673461,0.789453827722678,0.7826964415288159,0.41055863596926295,0.504904554869996,0.313612993781213,0.44888886142516904,0.6980446206162522,0.559071743657349,0.657432089259624,0.4907158950864439,0.821372214901965,0.560944101402155,0.6949153643264909,0.740837974757092,0.524509823702422,0.7817368343283491,0.64442450557207,0.7477067696001171,0.761630480832772,1.0,0.481489827967579,0.508176205860411,0.42469256316535897,0.650576699913775,0.396957015374372,0.53545623938952,0.5331985114590301,0.574104339565338,0.622688828776513,0.49000641926961896,0.656383920980986,0.608619031220286,0.45742660178665795,0.440231576040525,0.743373998882777,0.6139392366723111,0.498661877550108,0.550707754544224,0.456887172434706,0.5903514011157571,0.775989075028473,0.864033274630756,0.560944101402155
Bangladesh,BGD,South Asia,4998.0,0.030653893360624906,Lower Middle,0.408318444600616,0.397222701675929,0.543985620584176,0.484031997803599,0.36784113635708504,0.36522942879657894,0.28247630190851597,0.339771724605618,0.36214121950590794,0.40992805717034103,0.354221821089454,0.302868466838177,0.381546532925659,0.426635107066607,0.347961461488552,0.5486132429062041,0.32689909792535604,0.48306662594631394,0.32448131325322804,0.416288498378744,0.192153631567483,0.284260246223308,0.28247630190851597,0.496421845843725,0.155017299550987,0.344795509127501,0.424437173425564,0.626698463078659,0.761028919291967,0.915,0.204066469944011,0.413349289411235,0.45692664599151,0.4216826462876121,0.297946961152607,0.31930639225415697,0.57088380137029,0.382750310174128,0.44795091989235497,0.32372506654558697,0.35719921199278293,0.454118128137537,0.197455524865199,0.352960326197363,0.54584299358807,0.333269152639237,0.407975684645555,0.44828744223411604,0.35367065695281497,0.23257122824788898,0.350829217626895,0.25528959254407996,0.284260246223308
